seqName	segment	dataset	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
LOC_00012PH.1	h2n2	h1n1	93.0	498	35	0	22	1515	1	498	0.0	936
LOC_00012QF.1	h2n2	h1n1	93.0	498	35	0	19	1512	1	498	0.0	936
LOC_00012RD.1	h2n2	h1n1	93.0	498	35	0	23	1516	1	498	0.0	936
LOC_00012SB.1	h2n2	h1n1	92.8	498	36	0	30	1523	1	498	0.0	934
LOC_00012V5.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	935
LOC_00012W3.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	936
LOC_00012X1.1	h2n2	h1n1	92.8	498	36	0	20	1513	1	498	0.0	934
LOC_000130V.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	936
LOC_000131T.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	935
LOC_000132R.1	h2n2	h1n1	93.0	498	35	0	27	1520	1	498	0.0	936
LOC_000133P.1	h2n2	h1n1	93.0	498	35	0	21	1514	1	498	0.0	936
LOC_000134M.1	h2n2	h1n1	93.0	498	35	0	30	1523	1	498	0.0	936
LOC_000135K.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	935
LOC_000136H.1	h2n2	h1n1	93.0	498	35	0	30	1523	1	498	0.0	936
LOC_000137F.1	h2n2	h1n1	93.0	498	35	0	22	1515	1	498	0.0	935
LOC_000138D.1	h2n2	h1n1	92.8	498	36	0	22	1515	1	498	0.0	934
LOC_000139B.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	935
LOC_00013A9.1	h2n2	h1n1	93.0	498	35	0	15	1508	1	498	0.0	936
LOC_00013B7.1	h2n2	h1n1	93.0	498	35	0	10	1503	1	498	0.0	936
LOC_00013C5.1	h2n2	h1n1	93.0	498	35	0	18	1511	1	498	0.0	935
LOC_00013E1.1	h2n2	h1n1	93.0	498	35	0	24	1517	1	498	0.0	936
LOC_00013FZ.1	h2n2	h1n1	93.0	498	35	0	26	1519	1	498	0.0	936
LOC_00016YV.1	h2n2	h3n2	95.0	498	25	0	23	1516	1	498	0.0	945
LOC_00017LJ.1	h2n2	h3n2	95.0	498	25	0	26	1519	1	498	0.0	947
LOC_00017MG.1	h2n2	h3n2	94.6	498	27	0	22	1515	1	498	0.0	943
LOC_00017NE.1	h2n2	h3n2	94.8	498	26	0	22	1515	1	498	0.0	945
LOC_00017T4.1	h2n2	h3n2	95.6	498	22	0	26	1519	1	498	0.0	952
LOC_00019A3.1	h2n2	h3n2	94.8	498	26	0	22	1515	1	498	0.0	946
LOC_00019B1.1	h2n2	h3n2	94.8	498	26	0	10	1503	1	498	0.0	947
LOC_0001AR5.1	h2n2	h3n2	94.8	498	26	0	27	1520	1	498	0.0	947
LOC_0001AXT.1	h2n2	h1n1	93.0	498	35	0	30	1523	1	498	0.0	936
LOC_0001B1K.1	h2n2	h1n1	92.8	498	36	0	12	1505	1	498	0.0	936
LOC_0001BLE.1	h2n2	h1n1	92.6	498	37	0	24	1517	1	498	0.0	934
LOC_0001C4C.1	h2n2	h1n1	93.4	498	33	0	23	1516	1	498	0.0	938
LOC_0001FVS.1	h2n2	h3n2	94.8	498	26	0	1	1494	1	498	0.0	946
LOC_0001GKB.1	h2n2	h3n2	94.6	498	27	0	23	1516	1	498	0.0	944
LOC_0001HJC.1	h2n2	h1n1	93.2	498	34	0	1	1494	1	498	0.0	937
LOC_0001HKA.1	h2n2	h1n1	93.0	498	35	0	1	1494	1	498	0.0	936
LOC_000216H.1	h2n2	h1n1	92.8	498	36	0	10	1503	1	498	0.0	935
LOC_00021SA.1	h2n2	h1n1	92.6	498	37	0	10	1503	1	498	0.0	933
LOC_000254H.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_000256D.1	h2n2	h1n1	92.8	498	36	0	1	1494	1	498	0.0	934
LOC_00025A5.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_00025B3.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_00025C1.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_00025DZ.1	h2n2	h1n1	92.6	498	37	0	31	1524	1	498	0.0	936
LOC_00025EX.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_00025FV.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_00025GT.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_00026R7.1	h2n2	h3n2	94.8	498	26	0	39	1532	1	498	0.0	948
LOC_00026S5.1	h2n2	h3n2	95.6	498	22	0	42	1535	1	498	0.0	952
LOC_000285C.1	h2n2	h3n2	94.8	498	26	0	23	1516	1	498	0.0	945
LOC_0002GDN.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_0002GEL.1	h2n2	h1n1	92.8	498	36	0	31	1524	1	498	0.0	935
LOC_0002KHA.1	h2n2	h3n2	96.1	488	19	0	1	1464	1	488	0.0	938
LOC_0002L50.1	h2n2	h1n1	92.8	498	36	0	32	1525	1	498	0.0	935
LOC_0002NL1.1	h2n2	h1n1	93.0	498	35	0	23	1516	1	498	0.0	935
LOC_0002PL0.1	h1n1	h1n1pdm	93.4	497	33	0	32	1522	1	497	0.0	931
LOC_0002PMY.1	h1n1	h1n1pdm	93.6	497	32	0	32	1522	1	497	0.0	934
LOC_0002PNW.1	h1n1	h1n1pdm	93.0	497	35	0	32	1522	1	497	0.0	928
LOC_0002TSJ.1	h2n2	h1n1	93.2	498	34	0	31	1524	1	498	0.0	936
LOC_0002TX8.1	h2n2	h1n1	93.2	498	34	0	31	1524	1	498	0.0	936
LOC_0002U2Y.1	h2n2	h1n1	93.6	498	32	0	31	1524	1	498	0.0	940
LOC_0002U3W.1	h2n2	h1n1	93.2	498	34	0	33	1526	1	498	0.0	936
LOC_0002U4U.1	h2n2	h1n1	93.2	498	34	0	31	1524	1	498	0.0	936
LOC_000321Q.1	h2n2	h3n2	94.6	498	27	0	31	1524	1	498	0.0	945
LOC_000322N.1	h2n2	h3n2	95.4	498	23	0	31	1524	1	498	0.0	951
LOC_000323L.1	h2n2	h3n2	95.6	498	22	0	31	1524	1	498	0.0	956
LOC_000324J.1	h2n2	h3n2	95.6	498	22	0	31	1524	1	498	0.0	952
LOC_000325G.1	h2n2	h3n2	95.4	498	23	0	31	1524	1	498	0.0	951
LOC_00035LG.1	h2n2	h1n1	93.2	498	34	0	31	1524	1	498	0.0	936
LOC_000362J.1	h2n2	h1n1	93.0	498	35	0	31	1524	1	498	0.0	935
LOC_000363G.1	h2n2	h1n1	93.2	498	34	0	31	1524	1	498	0.0	935
LOC_000364E.1	h2n2	h1n1	93.0	498	35	0	31	1524	1	498	0.0	935
LOC_000365C.1	h2n2	h1n1	93.4	498	33	0	31	1524	1	498	0.0	939
LOC_000366A.1	h2n2	h1n1	93.4	498	33	0	31	1524	1	498	0.0	939
LOC_0003678.1	h2n2	h1n1	93.0	498	35	0	31	1524	1	498	0.0	936
LOC_00037BZ.1	h2n2	h3n2	95.4	498	23	0	34	1527	1	498	0.0	951
LOC_00037T0.1	h2n2	h1n1	94.2	498	29	0	33	1526	1	498	0.0	941
LOC_0003ABW.1	h2n2	h1n1	93.2	498	34	0	22	1515	1	498	0.0	937
LOC_0003ACU.1	h2n2	h1n1	93.2	498	34	0	34	1527	1	498	0.0	937
LOC_0003AWR.1	h2n2	h3n2	94.8	498	26	0	34	1527	1	498	0.0	947
LOC_0003AXP.1	h2n2	h1n1	94.6	498	27	0	34	1527	1	498	0.0	946
LOC_0003AYM.1	h2n2	h3n2	95.0	498	25	0	34	1527	1	498	0.0	946
LOC_0003TBD.1	h2n2	h1n1	95.4	498	23	0	34	1527	1	498	0.0	953
LOC_0003TLU.1	h2n2	h1n1	92.8	498	36	0	35	1528	1	498	0.0	936
LOC_00045A1.1	h2n2	h1n1	92.4	498	38	0	1	1494	1	498	0.0	934
LOC_00045DV.1	h2n2	h1n1	92.8	498	36	0	32	1525	1	498	0.0	935
LOC_00045FR.1	h2n2	h1n1	92.8	498	36	0	23	1516	1	498	0.0	935
LOC_00045GP.1	h2n2	h1n1	92.8	498	36	0	23	1516	1	498	0.0	935
LOC_0004BRY.1	h1n1	h1n1pdm	92.8	497	36	0	46	1536	1	497	0.0	929
LOC_0004BSW.1	h1n1	h1n1pdm	92.8	497	36	0	46	1536	1	497	0.0	929
LOC_0004BTU.1	h1n1	h1n1pdm	92.8	497	36	0	46	1536	1	497	0.0	928
LOC_0004BUS.1	h1n1	h1n1pdm	92.8	497	36	0	46	1536	1	497	0.0	929
LOC_0005PG3.1	h1n1	h1n1pdm	93.5	495	32	0	1	1485	1	495	0.0	927
LOC_0005PH0.1	h1n1	h1n1pdm	93.5	495	32	0	1	1485	1	495	0.0	927
LOC_0005PJY.1	h1n1	h1n1pdm	93.6	497	32	0	1	1491	1	497	0.0	932
LOC_0005PNQ.1	h1n1	h1n1pdm	93.5	494	32	0	1	1482	1	494	0.0	926
LOC_0006276.1	h1n1	h1n1pdm	93.8	496	31	0	27	1514	1	496	0.0	933
LOC_0006284.1	h1n1	h1n1pdm	93.1	478	33	0	3	1436	10	487	0.0	895
LOC_0006292.1	h1n1	h1n1pdm	93.5	490	32	0	26	1495	1	490	0.0	919
LOC_00062A0.1	h1n1	h1n1pdm	93.8	497	31	0	1	1491	1	497	0.0	935
LOC_0006LY5.1	h2n2	h1n1	92.8	498	36	0	1	1494	1	498	0.0	934
LOC_0006QNM.1	h2n2	h1n1	93.2	498	34	0	6	1499	1	498	0.0	936
LOC_000788W.1	h2n2	h1n1	93.2	498	34	0	1	1494	1	498	0.0	936
LOC_0007B7V.1	h2n2	h1n1	93.2	498	34	0	1	1494	1	498	0.0	937
LOC_0007YFS.1	h1n1	h1n1pdm	93.6	497	32	0	1	1491	1	497	0.0	932
LOC_0007YGQ.1	h1n1	h1n1pdm	93.4	497	33	0	1	1491	1	497	0.0	931
LOC_0007YHM.1	h1n1	h1n1pdm	93.4	497	33	0	1	1491	1	497	0.0	931
LOC_0007ZET.1	h1n1	h1n1pdm	93.2	497	34	0	1	1491	1	497	0.0	929
LOC_00081VS.1	h2n2	h3n2	94.8	498	26	0	1	1494	1	498	0.0	945
LOC_0008743.1	h2n2	h1n1	92.8	498	36	0	1	1494	1	498	0.0	934
LOC_0008751.1	h2n2	h1n1	93.2	498	34	0	1	1494	1	498	0.0	936
LOC_000876Z.1	h2n2	h1n1	93.4	498	33	0	1	1494	1	498	0.0	938
LOC_000877X.1	h2n2	h1n1	93.4	498	33	0	1	1494	1	498	0.0	938
LOC_000878V.1	h2n2	h1n1	92.8	498	36	0	1	1494	1	498	0.0	934
LOC_0009PD1.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	889
LOC_0009PFX.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	890
LOC_0009PGV.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	890
LOC_0009PHS.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	890
LOC_0009PJQ.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	890
LOC_0009PKN.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	890
LOC_0009PLL.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	890
LOC_0009PMJ.1	h2n2	h1n1	92.8	475	34	0	1	1425	1	475	0.0	889
LOC_0009PNG.1	h2n2	h1n1	93.1	475	33	0	1	1425	1	475	0.0	890
LOC_0009PPE.1	h2n2	h1n1	92.4	475	36	0	1	1425	1	475	0.0	887
LOC_0009PQC.1	h2n2	h1n1	92.8	475	34	0	1	1425	1	475	0.0	888
LOC_0009XQ4.1	h1n1	h1n1pdm	92.8	497	36	0	1	1491	1	497	0.0	928
LOC_0009ZXN.1	h1n1	h1n1pdm	92.8	497	36	0	1	1491	1	497	0.0	929
LOC_000A10D.1	h1n1	h1n1pdm	93.6	497	32	0	30	1520	1	497	0.0	933
LOC_000A153.1	h1n1	h1n1pdm	92.4	497	38	0	1	1491	1	497	0.0	926
LOC_000AASK.1	h1n1	h1n1pdm	92.8	497	36	0	1	1491	1	497	0.0	927
LOC_000AG2U.1	h1n1	h1n1pdm	93.8	497	31	0	30	1520	1	497	0.0	935
LOC_000AG3S.1	h1n1	h1n1pdm	93.8	497	31	0	30	1520	1	497	0.0	934
LOC_000AG4Q.1	h1n1	h1n1pdm	93.6	497	32	0	30	1520	1	497	0.0	932
LOC_000AGX3.1	h1n1	h1n1pdm	92.8	497	36	0	1	1491	1	497	0.0	927
LOC_000AKB7.1	h1n1	h1n1pdm	92.8	497	36	0	1	1491	1	497	0.0	927
LOC_000AVN8.1	h1n1	h1n1pdm	92.8	497	36	0	1	1491	1	497	0.0	926
LOC_000BEQH.1	h1n1	h1n1pdm	83.6	371	61	0	3	1115	126	496	2.83e-224	614
LOC_000BERF.1	h1n1	h1n1pdm	92.6	497	37	0	1	1491	1	497	0.0	928
LOC_000BX1D.1	h2n2	h1n1	92.8	498	36	0	1	1494	1	498	0.0	934
LOC_000D65S.1	h1n1	h1n1pdm	92.8	497	36	0	46	1536	1	497	0.0	928
LOC_000DL86.1	h2n2	h3n2	94.8	498	26	0	32	1525	1	498	0.0	946
LOC_000EVYE.1	h1n1	h1n1pdm	92.8	497	36	0	1	1491	1	497	0.0	927
LOC_000EYPV.1	h1n1	h1n1pdm	93.6	497	32	0	1	1491	1	497	0.0	932
LOC_000GHYN.1	h2n2	h1n1	93.4	498	33	0	34	1527	1	498	0.0	942
LOC_000GHZL.1	h2n2	h1n1	93.4	498	33	0	34	1527	1	498	0.0	942
LOC_000GJ0J.1	h2n2	h1n1	93.4	498	33	0	34	1527	1	498	0.0	942
LOC_000GJ1G.1	h2n2	h1n1	93.4	498	33	0	34	1527	1	498	0.0	942
LOC_000J7YT.1	h1n1	h1n1pdm	92.6	497	37	0	46	1536	1	497	0.0	929
LOC_000L5FS.1	h1n1	h1n1pdm	93.2	497	34	0	1	1491	1	497	0.0	931
LOC_000PCJ6.1	h1n1pdm	h3n2	94.4	498	28	0	1	1494	1	498	0.0	937
LOC_000VWJA.1	h1n1	h1n1pdm	93.8	497	31	0	34	1524	1	497	0.0	935
LOC_000WFD0.1	h1n1	h1n1pdm	94.0	497	30	0	34	1524	1	497	0.0	937
LOC_000XG4F.1	h2n2	h3n2	94.6	498	27	0	34	1527	1	498	0.0	944
LOC_000ZHUV.1	h1n1	h1n1pdm	94.0	497	30	0	34	1524	1	497	0.0	937
LOC_000ZZAG.1	h1n1	h1n1pdm	94.2	497	29	0	34	1524	1	497	0.0	939
