seqName	alignmentAssignedSegment	diamondAssignedSegment	total_length	weighted_identity_sum	n_hits	composite_score
LOC_0000ZKW.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_0000ZQL.1	h2n2	h3n2	347	135821.0	2	391.4149855907781
LOC_0000ZRJ.1	h2n2	h3n2	347	136011.0	2	391.9625360230548
LOC_0000ZZ2.1	h2n2	h3n2	340	131688.0	2	387.3176470588235
LOC_000100Y.1	h2n2	h3n2	345	134715.0	2	390.4782608695652
LOC_00010KT.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_000118F.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000119D.1	h2n2	h3n2	347	133012.0	2	383.31988472622476
LOC_00011AB.1	h2n2	h3n2	347	132950.0	2	383.1412103746398
LOC_00011B9.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_00011PJ.1	h2n2	h3n2	347	132760.0	2	382.5936599423631
LOC_00011RE.1	h2n2	h3n2	345	131175.0	2	380.2173913043478
LOC_00011SC.1	h2n2	h3n2	347	133805.0	2	385.60518731988475
LOC_00011W4.1	h2n2	h3n2	347	132760.0	2	382.5936599423631
LOC_00011X2.1	h2n2	h3n2	347	132950.0	2	383.1412103746398
LOC_00011Y0.1	h2n2	h3n2	347	132760.0	2	382.5936599423631
LOC_00011ZY.1	h2n2	h3n2	347	133202.0	2	383.86743515850145
LOC_000122S.1	h2n2	h3n2	347	133012.0	2	383.31988472622476
LOC_000123Q.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_000124N.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000127G.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_000128E.1	h2n2	h3n2	347	132760.0	2	382.5936599423631
LOC_000129C.1	h2n2	h3n2	347	133297.0	2	384.1412103746398
LOC_00012AA.1	h2n2	h3n2	347	132760.0	2	382.5936599423631
LOC_00012B8.1	h2n2	h3n2	347	132760.0	2	382.5936599423631
LOC_00012C6.1	h2n2	h3n2	347	133330.0	2	384.23631123919307
LOC_00012D4.1	h2n2	h3n2	347	132950.0	2	383.1412103746398
LOC_00012E2.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00012F0.1	h2n2	h3n2	347	133392.0	2	384.4149855907781
LOC_00012GY.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00012HV.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_00012JT.1	h2n2	h3n2	347	132950.0	2	383.1412103746398
LOC_00012KR.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00012MM.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_00012NK.1	h2n2	h3n2	347	133392.0	2	384.4149855907781
LOC_00014C4.1	h2n2	h3n2	340	131372.0	2	386.38823529411764
LOC_00014D2.1	h2n2	h3n2	340	130732.0	2	384.50588235294117
LOC_00014E0.1	h2n2	h3n2	340	131636.0	2	387.16470588235296
LOC_00014FY.1	h2n2	h3n2	329	127652.0	2	388.0
LOC_00014GW.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00014HT.1	h2n2	h3n2	340	131800.0	2	387.6470588235294
LOC_0001AA2.1	h2n2	h3n2	347	133012.0	2	383.31988472622476
LOC_0001AEU.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0001AZP.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_0001BHL.1	h2n2	h3n2	340	131876.0	2	387.8705882352941
LOC_0001EUV.1	h2n2	h3n2	340	131548.0	2	386.90588235294115
LOC_0001EVT.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0001Q7U.1	h2n2	h1n1	306	110862.0	2	362.29411764705884
LOC_0001RL0.1	h2n2	h3n2	299	109447.0	2	366.04347826086956
LOC_0001RMY.1	h2n2	h3n2	299	109707.0	2	366.9130434782609
LOC_0001RNW.1	h2n2	h3n2	299	109707.0	2	366.9130434782609
LOC_0001RPU.1	h2n2	h3n2	299	109707.0	2	366.9130434782609
LOC_0001RQS.1	h2n2	h3n2	299	109707.0	2	366.9130434782609
LOC_0001RRQ.1	h2n2	h1n1	306	110430.0	2	360.88235294117646
LOC_0001RSN.1	h2n2	h3n2	299	109707.0	2	366.9130434782609
LOC_0001RTL.1	h2n2	h3n2	299	109408.0	2	365.9130434782609
LOC_0001RUJ.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001RVG.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001RWE.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001RXC.1	h2n2	h3n2	299	109239.0	2	365.3478260869565
LOC_0001RYA.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001RZ8.1	h2n2	h3n2	299	109174.0	2	365.1304347826087
LOC_0001S06.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001S14.1	h2n2	h3n2	299	109239.0	2	365.3478260869565
LOC_0001S22.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001S30.1	h2n2	h3n2	299	109239.0	2	365.3478260869565
LOC_0001S4Y.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001S5W.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001S6U.1	h2n2	h3n2	299	108940.0	2	364.3478260869565
LOC_0001S7S.1	h2n2	h3n2	306	110970.0	2	362.6470588235294
LOC_0001S8Q.1	h2n2	h3n2	299	109278.0	2	365.4782608695652
LOC_0001S9N.1	h2n2	h3n2	299	109278.0	2	365.4782608695652
LOC_0001SAL.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SBJ.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SCG.1	h2n2	h3n2	299	109707.0	2	366.9130434782609
LOC_0001SDE.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SEC.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001SFA.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SG8.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SH5.1	h2n2	h3n2	306	110520.0	2	361.1764705882353
LOC_0001SJ3.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SK1.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SLZ.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SMX.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SNV.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001SPT.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001SQR.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SRP.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SSM.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001STK.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SUH.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001SVF.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001SWD.1	h2n2	h3n2	306	110538.0	2	361.2352941176471
LOC_0001SXB.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001SY9.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001SZ7.1	h2n2	h3n2	306	111186.0	2	363.3529411764706
LOC_0001T05.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001T13.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001T21.1	h2n2	h3n2	299	109707.0	2	366.9130434782609
LOC_0001T3Z.1	h2n2	h1n1	306	110862.0	2	362.29411764705884
LOC_0001T4X.1	h2n2	h3n2	306	110682.0	2	361.70588235294116
LOC_0001UG6.1	h2n2	h3n2	299	109369.0	2	365.7826086956522
LOC_0001XW8.1	h2n2	h3n2	141	20002.1	2	141.85886524822695
LOC_0001XX6.1	h2n2	h3n2	141	20002.1	2	141.85886524822695
LOC_0001XY4.1	h2n2	h3n2	141	20002.1	2	141.85886524822695
LOC_0001XZ2.1	h2n2	h3n2	141	19726.1	2	139.9014184397163
LOC_0001Y00.1	h2n2	h3n2	141	20002.1	2	141.85886524822695
LOC_0001Y1Y.1	h2n2	h3n2	137	19340.6	2	141.17226277372262
LOC_000210V.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00021JS.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00021KQ.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00024U3.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000251P.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002589.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00025A5.1	h2n2	h3n2	347	133045.0	2	383.4149855907781
LOC_00025B3.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00025C1.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00025DZ.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00025EX.1	h2n2	h3n2	347	133045.0	2	383.4149855907781
LOC_00025FV.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00026R7.1	h1n1	h2n2	347	134371.0	2	387.23631123919307
LOC_00026T3.1	h2n2	h3n2	347	136011.0	2	391.9625360230548
LOC_000285C.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000286A.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002878.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002886.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002894.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002GTT.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002GUR.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002LBN.1	h2n2	h3n2	347	133045.0	2	383.4149855907781
LOC_0002NFC.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002QVF.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0002RCF.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0002RNU.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0002TDB.1	h2n2	h3n2	340	131460.0	2	386.6470588235294
LOC_0002TLW.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0002TRL.1	h2n2	h3n2	340	131864.0	2	387.83529411764704
LOC_0002TVC.1	h2n2	h3n2	340	131208.0	2	385.90588235294115
LOC_000324J.1	h2n2	h3n2	347	136011.0	2	391.9625360230548
LOC_000325G.1	h2n2	h3n2	347	135726.0	2	391.1412103746398
LOC_000326E.1	h2n2	h3n2	347	135441.0	2	390.31988472622476
LOC_00035ME.1	h1n1	h3n2	340	131888.0	2	387.90588235294115
LOC_000364E.1	h2n2	h3n2	347	133392.0	2	384.4149855907781
LOC_000365C.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_000366A.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_0003678.1	h2n2	h3n2	340	131712.0	2	387.38823529411764
LOC_0003686.1	h2n2	h3n2	349	132371.0	2	379.2865329512894
LOC_0003694.1	h2n2	h1n1	340	132104.0	2	388.54117647058825
LOC_00036A2.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00036B0.1	h2n2	h3n2	344	132636.0	2	385.56976744186045
LOC_00037WU.1	h2n2	h3n2	347	133776.0	2	385.521613832853
LOC_0003ABW.1	h2n2	h3n2	347	134057.0	2	386.3314121037464
LOC_0003ACU.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_0003TQL.1	h1n1	h3n2	347	134561.0	2	387.78386167146977
LOC_0003U7L.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0003ZW2.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000400S.1	h2n2	h3n2	347	132636.0	2	382.23631123919307
LOC_00040C2.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00040MH.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000464C.1	h2n2	h3n2	347	133392.0	2	384.4149855907781
LOC_0004668.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_0004692.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00046A0.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00046BY.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00046CW.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0004CRX.1	h1n1	h1n1pdm	347	129517.0	2	373.2478386167147
LOC_0004CSV.1	h1n1	h1n1pdm	347	129517.0	2	373.2478386167147
LOC_0004CTT.1	h1n1	h1n1pdm	347	129517.0	2	373.2478386167147
LOC_0004CUR.1	h1n1	h1n1pdm	347	129517.0	2	373.2478386167147
LOC_00060MD.1	h2n2	h3n2	319	125220.0	2	392.5391849529781
LOC_00067FK.1	h2n2	h3n2	347	133235.0	2	383.9625360230548
LOC_00067KA.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00067RY.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0006B7X.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0006B9T.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_0006BAR.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0006BEH.1	h2n2	h3n2	347	132888.0	2	382.9625360230548
LOC_0006BGD.1	h2n2	h3n2	347	132950.0	2	383.1412103746398
LOC_0006FVG.1	h2n2	h3n2	344	132268.0	2	384.5
LOC_0006FWE.1	h2n2	h3n2	344	132268.0	2	384.5
LOC_0006K4V.1	h2n2	h3n2	316	116051.0	2	367.25
LOC_0006K5T.1	h2n2	h3n2	322	121030.0	2	375.8695652173913
LOC_0006K6R.1	h2n2	h3n2	312	110892.0	2	355.4230769230769
LOC_0006KBF.1	h2n2	h3n2	340	132216.0	2	388.8705882352941
LOC_000722E.1	h2n2	h3n2	340	131636.0	2	387.16470588235296
LOC_00073R0.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_00073SY.1	h2n2	h3n2	347	132636.0	2	382.23631123919307
LOC_00073TW.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_00073VS.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00073WQ.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00073XN.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000740G.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000742C.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_000743A.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0007448.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0007456.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0007464.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0007472.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0007480.1	h2n2	h3n2	344	132636.0	2	385.56976744186045
LOC_000749Y.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074AW.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074BU.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074CS.1	h2n2	h3n2	347	132855.0	2	382.86743515850145
LOC_00074DQ.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074EN.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074GJ.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074HF.1	h2n2	h3n2	344	132636.0	2	385.56976744186045
LOC_00074KB.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074N5.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074Q1.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00074TV.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0007547.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00075HE.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00075JC.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000797X.1	h2n2	h3n2	347	133896.0	2	385.86743515850145
LOC_00080R1.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_00080SZ.1	h2n2	h3n2	340	131636.0	2	387.16470588235296
LOC_00080UV.1	h2n2	h3n2	340	131448.0	2	386.61176470588236
LOC_00080VT.1	h2n2	h3n2	340	131624.0	2	387.1294117647059
LOC_00080WR.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0008BJ4.1	h2n2	h3n2	347	132950.0	2	383.1412103746398
LOC_00095N0.1	h2n2	h3n2	347	136201.0	2	392.5100864553314
LOC_0009ESH.1	h2n2	h3n2	342	131592.0	2	384.7719298245614
LOC_0009ETF.1	h2n2	h3n2	336	130368.0	2	388.0
LOC_0009EUD.1	h2n2	h3n2	333	128364.0	2	385.47747747747746
LOC_0009EVB.1	h2n2	h3n2	337	130698.0	2	387.82789317507417
LOC_0009EW9.1	h2n2	h1n1	330	126864.0	2	384.43636363636364
LOC_0009FPN.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0009FRJ.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0009HHY.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_0009HJW.1	h2n2	h3n2	340	131888.0	2	387.90588235294115
LOC_0009M6H.1	h1n1	h1n1pdm	347	129517.0	2	373.2478386167147
LOC_000A830.1	h1n1	h1n1pdm	339	127833.0	2	377.08849557522126
LOC_000AAUF.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000ACH1.1	h2n2	h3n2	347	132384.0	2	381.5100864553314
LOC_000AUTZ.1	h1n1	h3n2	340	131988.0	2	388.2
LOC_000AUUX.1	h1n1	h3n2	340	131636.0	2	387.16470588235296
LOC_000AUXR.1	h1n1	h3n2	80	12480.0	1	156.0
LOC_000AUYP.1	h2n2	h3n2	80	12480.0	1	156.0
LOC_000BG9C.1	h2n2	h3n2	347	133140.0	2	383.68876080691643
LOC_000BVP4.1	h2n2	h3n2	88	14872.0	1	169.0
LOC_000CRFP.1	h2n2	h3n2	347	133297.0	2	384.1412103746398
LOC_000CV39.1	h1n1	h1n1pdm	339	131457.0	2	387.7787610619469
LOC_000CV47.1	h2n2	h3n2	347	135255.0	2	389.78386167146977
LOC_000FNVR.1	h2n2	h3n2	347	134247.0	2	386.87896253602304
LOC_000FNWP.1	h2n2	h3n2	347	133743.0	2	385.42651296829973
LOC_000FNXM.1	h2n2	h3n2	347	133743.0	2	385.42651296829973
LOC_000FNYK.1	h2n2	h3n2	347	133962.0	2	386.05763688760806
LOC_000G9JQ.1	h2n2	h3n2	347	133330.0	2	384.23631123919307
LOC_000G9NG.1	h2n2	h3n2	340	131964.0	2	388.1294117647059
LOC_000HAGR.1	h1n1	h1n1pdm	347	129327.0	2	372.700288184438
LOC_000KDHF.1	h1n1	h1n1pdm	340	130616.0	2	384.16470588235296
LOC_000QWEV.1	h1n1	h1n1pdm	340	129004.0	2	379.4235294117647
LOC_000QX2J.1	h1n1	h1n1pdm	340	130528.0	2	383.90588235294115
LOC_000SA05.1	h2n2	h1n1	347	134020.0	2	386.2247838616715
LOC_000TSXS.1	h1n1	h1n1pdm	343	109914.0	2	320.44897959183675
LOC_000UB00.1	h1n1	h1n1pdm	340	128652.0	2	378.38823529411764
LOC_000UGA9.1	h3n2	h1n1pdm	340	132592.0	2	389.9764705882353
LOC_000US59.1	h1n1	h1n1pdm	347	131029.0	2	377.60518731988475
